Record number,Origin of data,Subject number,Ethnicity,Gender,Age group,Body location,L,a,b
438,1,49,CA,M,,11,57.2001,10.8678,13.4061
439,1,49,CA,M,,10,51.0295,8.5907,14.8790
440,1,49,CA,M,,7,56.6881,7.5434,15.6024
441,1,50,CA,M,,6,52.5091,8.6819,17.9083
442,1,50,CA,M,,9,50.3815,8.2741,14.0608
443,1,50,CA,M,,2,56.9641,8.8946,13.4479
444,1,50,CA,M,,5,41.5495,9.7437,14.3674
445,1,50,CA,M,,4,44.3094,5.9851,12.5570
446,1,50,CA,M,,1,55.8568,8.3017,16.6211
447,1,50,CA,M,,11,51.4143,9.2468,15.8215
448,1,50,CA,M,,10,55.5434,7.2459,17.0425
449,1,50,CA,M,,7,56.1914,4.8255,14.3515
450,1,51,CA,M,,6,57.1784,15.0859,10.4669
451,1,51,CA,M,,9,51.0711,12.0538,11.5228
452,1,51,CA,M,,2,59.7798,15.0156,11.7538
453,1,51,CA,M,,5,60.7348,13.9951,11.3455
454,1,51,CA,M,,4,60.3398,11.5010,13.5097
455,1,51,CA,M,,1,62.1370,5.5996,9.0040
456,1,51,CA,M,,11,59.5300,6.1996,10.0388
457,1,51,CA,M,,10,63.0819,5.8528,14.3815
458,1,51,CA,M,,7,65.5437,3.2565,8.3753
459,1,52,CA,F,,6,46.9387,11.2781,18.1269
460,1,52,CA,F,,9,51.9145,12.2699,18.2406
461,1,52,CA,F,,2,51.9188,11.6001,18.8505
462,1,52,CA,F,,5,43.2767,15.7919,16.0081
463,1,52,CA,F,,4,48.5069,14.4385,17.1395
464,1,52,CA,F,,1,44.0773,11.4204,17.1625
465,1,52,CA,F,,11,50.6014,11.7195,16.5664
466,1,52,CA,F,,10,44.0810,10.6828,16.7287
467,1,52,CA,F,,7,44.7976,11.1157,16.8735
468,1,53,CA,M,,6,61.9308,8.5691,17.6927
469,1,53,CA,M,,9,50.1949,8.7249,13.9777
470,1,53,CA,M,,2,59.8817,11.0570,15.1879
471,1,53,CA,M,,5,56.2916,8.5062,15.5926
472,1,53,CA,M,,4,59.7250,10.6556,18.6005
473,1,53,CA,M,,1,55.6969,8.2592,19.0369
474,1,53,CA,M,,11,55.3145,8.5106,13.6014
